True,Pred
2382.5830078125,2724.435791015625
2550.70947265625,2836.691650390625
4467.58447265625,4005.912353515625
2301.58740234375,2625.001708984375
2571.4580078125,2934.89794921875
1902.2613525390625,2687.43017578125
2753.09521484375,2905.902587890625
1580.8291015625,1679.205078125
2402.642333984375,2921.619384765625
2056.80810546875,2594.518310546875
2005.866943359375,2437.58203125
2379.274169921875,2645.317138671875
4321.9990234375,4628.47900390625
2410.500732421875,2703.704833984375
3054.26123046875,3850.919189453125
2045.0205078125,2582.942626953125
2901.09326171875,3192.2421875
3860.564697265625,3655.993408203125
3708.155029296875,3918.442626953125
2986.84521484375,3490.999755859375
2788.250732421875,3002.258544921875
3880.21044921875,4125.69677734375
1378.5811767578125,1585.650390625
5352.884765625,4983.1826171875
2800.7275390625,3049.6328125
2267.327880859375,2563.011962890625
1690.7763671875,1967.1402587890625
2030.9583740234375,2640.305419921875
3160.348388671875,3410.608642578125
2012.07080078125,2333.948486328125
3370.178955078125,3590.12548828125
4127.9541015625,3478.184326171875
2455.789306640625,2696.167236328125
2785.63134765625,2591.670166015625
1955.890869140625,2182.83935546875
3502.184814453125,3395.3681640625
2200.670166015625,2962.487548828125
3729.3173828125,3554.54248046875
2984.639404296875,3221.484619140625
3078.732421875,2906.83740234375
1682.435546875,2221.3671875
4170.9677734375,4513.1513671875
4018.351318359375,4201.55712890625
2935.904296875,3312.888671875
1685.399658203125,2066.288330078125
2553.397705078125,3193.036376953125
2920.876953125,2842.978271484375
2834.7802734375,2976.059814453125
4417.33251953125,4651.0322265625
916.7333374023438,1143.9429931640625
3180.75244140625,3194.70947265625
2546.02197265625,2555.173583984375
2231.48291015625,2807.33935546875
2849.256103515625,3266.468505859375
2361.282958984375,2764.167724609375
4979.68408203125,4550.88818359375
2536.4404296875,2713.242431640625
4127.40234375,4741.34716796875
2513.279052734375,2661.013427734375
4524.5224609375,4226.4345703125
4276.15869140625,4680.25439453125
1691.0521240234375,1894.3953857421875
2540.783203125,2653.7265625
2657.761474609375,3271.299560546875
3435.664794921875,3762.764892578125
1829.53759765625,2129.576904296875
3736.279541015625,3197.836669921875
2181.0244140625,2653.460205078125
3897.857177734375,4474.9697265625
1705.39013671875,1846.5999755859375
2756.6796875,2850.641845703125
2543.9541015625,2683.343994140625
3437.939697265625,3494.06103515625
2574.21533203125,2948.487548828125
2033.7845458984375,2206.080810546875
4421.33056640625,4452.400390625
2811.618896484375,2774.338134765625
2853.1162109375,2815.582763671875
2524.446044921875,2860.506591796875
2165.169921875,3234.938232421875
2874.4853515625,3035.582763671875
1939.8984375,2247.002685546875
3033.030029296875,3206.85693359375
2526.16943359375,2877.196044921875
2991.18798828125,3241.228515625
1626.1866455078125,1915.2696533203125
3019.036865234375,3502.213134765625
3684.718017578125,3533.201416015625
3252.649169921875,3212.328369140625
3138.496826171875,3432.231201171875
2542.7822265625,2293.37451171875
5713.1259765625,5496.080078125
2136.769775390625,2385.960693359375
3701.53759765625,3519.598388671875
5220.60302734375,5516.4189453125
5371.15185546875,4910.73193359375
2617.5048828125,2980.180908203125
2586.55419921875,3063.005615234375
2171.787353515625,2714.33935546875
2568.56298828125,2760.475830078125
4220.185546875,4044.424072265625
2175.1650390625,3353.02734375
2854.70166015625,3269.2509765625
4304.90380859375,4050.718505859375
3279.325927734375,3320.3916015625
