smi,True,Pred
['COC(=O)N1C2=C(NC(=O)[C@@]1(C#CC1CC1)C(F)(F)F)C=CC=C2'],1.4320000410079956,1.4906820726394653
['CCCS(=O)(=O)C1=CC(NC(CC2=CC=C(NC(=O)C3=C(Cl)C=NC=C3Cl)C=C2)C(O)=O)=NC=C1Cl'],1.1269999504089355,1.0316812992095947
['S=C(NCCC1=CC=CO1)NC1=NC=CS1'],0.6980000138282776,0.6858899593353271
['CC1=C(C=CC(=C1)C(=O)NC1=CC=C(C=C1)[N+](C)(C)C)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)[N+](C)(C)C'],0.9769999980926514,0.9790400266647339
['CCN1C2=NC=CC=C2C(=O)NC2=C1N=C(OC)C=C2C1OCCCO1'],0.5090000033378601,0.5213159322738647
['OC1=C(C(=O)N(NCC2CC2)C2=CC=CC=C12)C1=NS(=O)(=O)C2=C(N1)C=CC=C2'],0.7049999833106995,0.9959494757652283
['SC1=C(NC(=O)C2=CC=C(Cl)N=C2)C=CC=C1'],1.0700000524520874,1.1907819175720215
['CCCC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1=NCCN1'],1.4910000562667847,1.3451422691345215
['CC(C)CCN1N=C2C(=O)N(C(C2=C1C1CC1)C1=C(C)C=C(Cl)C=C1)C1=C(F)C(Cl)=CC=C1'],1.4429999589920044,1.5734679222106934
['NCCN(CCN)C(=O)CC[C@H](N)C(=O)NC(CN1CCCCC1)C(=O)NC1=CN=C2C=CC=CC2=C1'],0.06499999761581421,0.20142872095108032
['CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1'],1.0670000314712524,1.011939697265625
['CCC1=C(C)NC(=O)C(NCC2=NC3=C(O2)C(F)=CC=C3F)=C1'],1.1759999990463257,1.2039027309417725
['CC(=O)C1=CC=C(F)C(C2CC2NC(=O)NC2=NC=C(Br)C=C2)=C1O'],0.6769999861717224,0.5411437511444092
['COC1=CC=C(\\C=C\\C2=CC(OC)=CC(OC)=C2\\C=C\\C(=O)NC2CC2)C=C1'],0.9229999780654907,0.9990182995796204
['C[N+]1=CC=CC=C1NC1=CC=C(NC(=O)C2=CC=C(C=C2)C(=O)NC2=CC=C(NC3=CC=CC=[N+]3C)C=C2)C=C1'],1.3309999704360962,1.2474873065948486
['COC1=CC=C(C2=C(CN3CCCC3)N3C=CC(=CC3=N2)N2CCN(CC2)C(=O)C2CCCC2)C(OC)=C1'],1.2289999723434448,0.9874218106269836
['CC(C)NC1=CC=CN=C1N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(=C2)N(C)S(C)(=O)=O'],1.2630000114440918,1.2285693883895874
['CCC(C)SC1=NC(C(C)C2=C(F)C=CC=C2F)=C(C)C(=O)N1'],1.5099999904632568,1.5908451080322266
['NS(=O)(=O)C1=C(C2=C(C=CC(Cl)=C2)N1CC1=C(F)C=C(F)C=C1)C1=CC=CNC1=O'],1.1990000009536743,1.1564464569091797
['COC1=C(C=CC=C1)N1N=C2C(=O)N([C@@H](C2=C1C(C)C)C1=C(C)C=C(Cl)C=C1)C1=C(OCCN(C)C)C=CC(Cl)=C1'],1.062999963760376,1.0524203777313232
['CN(C)C1=C2N=CN(CC3=CC=C(Cl)C=C3)C2=NC(Cl)=N1'],1.3250000476837158,1.3195579051971436
['FC(F)(F)C1(OCC(=O)NC2=CC=C(Cl)C=C12)\\C=C\\C1CC1'],1.3890000581741333,1.425771951675415
['CCN1CCN(CCCN2C=NC3=C(N=C(N)N=C23)N2CCN(CC2)C(=O)C2=CC=CC=C2)CC1'],1.1990000009536743,1.1312246322631836
['CC(C)OC1=CC(NC(=O)[C@@H](NC(=O)[C@@H](N)CC(=O)N(CCN)CCN)[C@H](O)C2=CC=C(C=C2)C(F)(F)F)=CC=C1F'],1.3140000104904175,1.3931537866592407
['FC1=CC=CC(CCNC(=S)NC2=NC=CS2)=C1'],0.6869999766349792,0.6591789722442627
['COC1=CC(=CC=C1)C1=NN2C(COC3=C4C=CC(OC)=CC4=NC=C3)=NN=C2N=C1'],0.46000000834465027,0.6070146560668945
['NCCN(CCN)C(=O)CC[C@H](N)C(=O)N[C@@H]([C@H](O)C1=CC=C(C=C1)C(F)(F)F)C(=O)NC1=CC=C(OC(F)(F)F)C=C1'],1.3550000190734863,1.3907501697540283
['O=C1OC2=C(C=CC=C2)C=C1'],1.5420000553131104,1.5169740915298462
['CCN1C2=NC=CC(C)=C2NC(=O)C2=C1N=CC=C2'],0.5690000057220459,0.5556988716125488
['CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=CC(N)=CC=C2N1'],1.0110000371932983,1.0381271839141846
['O=C1N2CCS[C@]2(C2=CC=CC=C12)C1=CC=CC=C1'],0.7860000133514404,0.7607386112213135
['NC1=NC(N)=C(CC#N)C(=O)N1CCOCP(O)(O)=O'],1.1410000324249268,1.1289727687835693
['CN1C(=O)C2=CC=CC(CC(=O)NC3=CC=C(C=C3)C3=CSC=C3)=C2C1=O'],1.062999963760376,1.0924303531646729
['CC1=C(CC2=C(Cl)C=CC=C2Cl)N=C(NC1=O)SC1CCCCC1'],1.3309999704360962,1.3543126583099365
['OC1=C2C=CC=C(F)C2=NC=C1C(=O)NCC1=CC=C(Cl)C=C1'],1.2489999532699585,1.2432966232299805
['CC1=C(N)N=C(N)N=C1OCCOCP(O)(O)=O'],1.6059999465942383,1.625760793685913
['NC(=O)C1=C(N=CS1)C1=CC(=CC=C1)C1=CC=CC=C1'],1.3880000114440918,1.421574354171753
['C[N+]1=CC=C(NC2=CC=C(NC(=O)C3=CC(OC(F)(F)F)=C(C=C3)C(=O)NC3=CC=C(NC4=CC=[N+](C)C=C4)C=C3)C=C2)C=C1'],1.2760000228881836,1.2736315727233887
['FC1=CC=CC(F)=C1C1SCC2=NC3=CC=CC=C3N12'],1.1660000085830688,1.0627555847167969
['CC1=C(CC2=C3C=CC=CC3=CC=C2)N=C(NC1=O)SC1CCCC1'],1.687999963760376,1.6980067491531372
['CN1C(C)=C(S\\C1=N/S(=O)(=O)C1=C(C=CC(Cl)=C1)C#N)C(C)(C)C'],0.7919999957084656,0.8064618110656738
['CNCCN1CCC(CC1)C1=CC=C2NC(=C(C)C2=C1)C1=CC=CC(=C1)C#N'],1.2799999713897705,1.0622093677520752
['OCC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1'],0.5820000171661377,0.546514630317688
['[O-][N+](=O)C1=CC=C(C=C1)N1C(=CC(C=C2C(=O)NC(=O)NC2=O)=C1C1=CC=CC=C1)C1=CC=CC=C1'],0.6869999766349792,0.619174063205719
['CCC1=C(C)NC(=O)C(NCC2=NC3=C(O2)C(F)=CC=C3)=C1'],1.3289999961853027,1.3637844324111938
['BrC1=CC(OC(=O)C2=CC=CO2)=CN=C1'],1.5290000438690186,1.1269652843475342
['C[C@@H]1CN(C[C@H](CN2CC3(C2)OCC2=CC(=CC=C32)N2CC3(CN(C)C3)C2)O1)C1=CC=C(C#N)N2N=CC=C12'],0.9539999961853027,0.9545795321464539
['CN(C)C1=C2N=CN(CC3=CC=C(C)C=C3)C2=NC(=N1)C(F)(F)F'],1.3329999446868896,1.3232485055923462
['O=C(NC1=CC=C(C=C1)C1=NCCN1)\\C=C\\C1=CC=CC=C1'],1.7259999513626099,1.6956416368484497
['CC(C)C1=CC2=CCC3C(C)(CCCC3(C)C(O)=O)C2CC1'],2.2880001068115234,2.0304384231567383
['CCN1C2=NC=CC=C2N(C)C(=O)C2=C1N=CC(\\C=C\\C1=CC=NC=C1)=C2'],1.13100004196167,1.1152770519256592
['COC1=CC2=C(N=C(N=C2C=C1OC1CCCC1)N(C)C)N1CCN(CC1)C(=O)C1=CC=CC=C1'],0.8460000157356262,0.803735613822937
['CCC1=C(C)NC(=O)C(CCC2=NC3=C(S2)C=CC=C3)=C1'],1.5870000123977661,1.6004220247268677
['C[C@H](C1=CC(=O)NC(SC2CCCC2)=N1)C1=C(F)C=CC=C1F'],1.4229999780654907,1.4533438682556152
['COC1=C(OC2=CC=C(C=C2)C(=O)N(C2CCCCC2)C2=NC=C(S2)C(O)=O)C=CC=C1'],1.281000018119812,1.3062944412231445
['CCC1=C(C)NC(=O)C(NCC2=C(Cl)C=CC=C2)=C1'],1.3009999990463257,1.2593817710876465
['CCN1C2=C(C=C(Cl)C(Cl)=C2)N(C)C(=O)C2=C1N=CC=C2'],0.6610000133514404,0.6391317844390869
['CSC1=C(C)NC(=O)C(NCC2=NC3=C(O2)C(Cl)=CC=C3Cl)=C1'],1.1380000114440918,1.1383711099624634
['CCOC(=O)C1=C(NC(=O)NS(=O)(=O)C2=CC=C(F)C=C2)SC2=C1CCC(C)(C)C2'],1.5479999780654907,1.5730551481246948
['CN(C)C1=C2N=CN(CC3=CC=C(C)C=C3)C2=NC(Cl)=N1'],1.437000036239624,1.4558242559432983
['CCNC1=CC=CN=C1N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC=C2'],1.1430000066757202,1.207573413848877
['CCOC(=O)C1=CC=C(N)C=C1'],1.5870000123977661,1.588906168937683
['COC1=CC=C(C2=CN3C=CC(=CC3=N2)N2CCN(CC2)C(=O)C2=CC=C(F)C=C2)C(OCC2=CC=CC=C2)=C1'],0.9319999814033508,0.875527024269104
['COC1=CC=C(\\C=C\\C2=CC(OC)=CC(OC)=C2\\C=C\\C(=O)N2CCC(Cl)CC2)C=C1'],1.3209999799728394,1.3500046730041504
['CC(\\N=C(/S)NC1=CC=C(NC(=O)C2=CC=CC=C2F)C(=C1)C(F)(F)F)C1=CC=C(F)C=C1'],0.5230000019073486,0.4403957724571228
['O=C1NC(SC2CCCC2)=NC(CC2=CC=CC=C2)=C1'],1.3830000162124634,1.4066741466522217
['NC1=CC=C(OCC2=C3NC(=O)C4=C(N=CC=C4)N(C4CC4)C3=NC=C2)C=C1'],0.49000000953674316,0.5441059470176697
