True,Pred
5233.42431640625,5948.8603515625
2646.732421875,3021.599853515625
2233.8955078125,2916.3681640625
958.9200439453125,1422.4263916015625
2609.853515625,2757.28466796875
2984.84619140625,3347.944580078125
3456.482421875,3453.218505859375
2716.1474609375,2565.253173828125
3970.99462890625,4329.8759765625
2954.722900390625,3074.328125
1882.133056640625,1992.508544921875
2904.470947265625,2874.3681640625
3120.712158203125,3143.492431640625
2239.2724609375,2620.81298828125
3353.014892578125,3753.640869140625
3424.084228515625,3990.310546875
1631.011962890625,1729.1495361328125
1816.716064453125,2128.053466796875
1983.87744140625,2048.596923828125
7207.10009765625,5214.9423828125
3708.70654296875,3869.12451171875
4032.344482421875,4342.51953125
2827.68017578125,3277.62646484375
1760.12255859375,2302.687255859375
2625.29443359375,2901.997314453125
3193.43603515625,3416.24462890625
6057.9951171875,6472.150390625
2881.378662109375,3021.193603515625
1823.9539794921875,2289.942626953125
1826.159912109375,1990.8040771484375
2254.4375,2859.721923828125
2111.54052734375,2385.032958984375
2979.400634765625,3518.354736328125
1856.1455078125,2101.786376953125
3136.70458984375,3015.318115234375
3024.75830078125,3324.1455078125
1856.352294921875,2256.475830078125
2902.60986328125,3127.840087890625
2119.674560546875,2947.685791015625
2317.9931640625,2177.48193359375
2925.426513671875,3042.388916015625
2403.19384765625,3061.654541015625
3520.2451171875,3439.173095703125
4924.0556640625,5371.54248046875
2412.70654296875,2764.17578125
3171.998046875,3337.750244140625
2402.50439453125,3339.681396484375
3464.478759765625,3796.350341796875
1434.0028076171875,1819.3504638671875
2053.981689453125,2495.92529296875
3163.519287109375,3494.025390625
2413.53369140625,2901.930419921875
2306.34375,2604.249755859375
2679.130615234375,2779.533935546875
2333.0205078125,2803.842041015625
3251.33935546875,3450.839111328125
1940.7257080078125,1972.0469970703125
2298.830078125,2607.36767578125
4157.38818359375,4301.6240234375
2372.105224609375,2937.143310546875
1809.8228759765625,2076.439697265625
3350.94677734375,3503.560302734375
1544.2947998046875,1951.8360595703125
3282.22119140625,3593.188720703125
2462.544677734375,3352.280517578125
4621.6484375,4242.3017578125
2385.615966796875,2906.476806640625
2357.836181640625,2782.790283203125
2497.5625,2700.1044921875
3974.648193359375,4383.0771484375
2739.791259765625,3113.283203125
1541.1239013671875,2046.4190673828125
3031.720458984375,3323.092041015625
